# Montpellier Game ground sidecar generated from CityGML tile
# Format:
# grid minX minZ cellSize width depth fallbackY
# cell ix iz height sampleCount
# Source: local CityGML path omitted
# Mode: citygml_ground_and_low_vertices
grid -125 -125 6 42 42 0
cell 0 0 18.96 23
cell 0 1 34.457 11
cell 0 10 25.898 10
cell 0 15 3.15 20
cell 0 17 3.15 54
cell 0 18 3.15 77
cell 0 19 3.15 26
cell 0 2 17.43 36
cell 0 20 6.44 4
cell 0 21 6.44 5
cell 0 27 2.25 14
cell 0 28 25.045 6
cell 0 29 26.613 12
cell 0 3 17.43 25
cell 0 32 24.67 24
cell 0 33 27.075 5
cell 0 35 27.087 33
cell 0 36 2.25 55
cell 0 37 20.714 12
cell 0 39 1.85 13
cell 0 4 17.43 6
cell 0 40 1.85 34
cell 0 5 16.66 3
cell 0 6 13.95 9
cell 0 7 10.24 12
cell 0 8 10.24 9
cell 1 0 18.96 25
cell 1 17 3.15 16
cell 1 18 6.44 7
cell 1 2 17.43 6
cell 1 20 18.115 21
cell 1 21 6.44 5
cell 1 27 2.25 4
cell 1 28 5.393 25
cell 1 3 31.401 8
cell 1 30 26.604 21
cell 1 32 26.595 25
cell 1 33 27.069 49
cell 1 34 27.059 24
cell 1 35 27.063 35
cell 1 36 2.41 18
cell 1 37 20.623 12
cell 1 39 2.26 13
cell 1 4 17.43 16
cell 1 40 1.85 11
cell 1 5 12.9 8
cell 1 6 13.18 6
cell 1 7 10.24 28
cell 1 8 10.24 135
cell 10 1 15.82 8
cell 10 10 9.37 5
cell 10 14 7.3 16
cell 10 15 6.15 68
cell 10 16 6.15 19
cell 10 17 6.01 37
cell 10 18 5.71 23
cell 10 19 5.11 29
cell 10 20 4.27 38
cell 10 21 17.889 4
cell 10 22 3.87 19
cell 10 24 3.87 11
cell 10 26 3.29 15
cell 10 27 3.35 10
cell 10 28 3.35 5
cell 10 3 15.82 6
cell 10 30 2.93 4
cell 10 31 2.93 28
cell 10 33 24.974 17
cell 10 34 26.537 6
cell 10 38 2.71 16
cell 10 39 15.951 3
cell 10 41 2.71 10
cell 10 8 9.23 8
cell 10 9 9.23 12
cell 11 1 30.257 3
cell 11 10 9.23 13
cell 11 14 6.57 11
cell 11 15 6.26 21
cell 11 16 5.8 28
cell 11 17 5.8 29
cell 11 18 19.88 3
cell 11 19 5.09 39
cell 11 2 29.848 5
cell 11 20 4.33 19
cell 11 21 4.03 8
cell 11 22 3.87 12
cell 11 24 3.87 4
cell 11 25 4.11 166
cell 11 3 29.079 10
cell 11 30 4.11 5
cell 11 31 4.11 18
cell 11 32 2.25 36
cell 11 34 24.974 16
cell 11 35 2.25 24
cell 11 37 2.51 8
cell 11 38 2.51 4
cell 11 5 29.71 26
cell 11 6 29.866 3
cell 11 7 9.23 9
cell 11 9 9.23 5
cell 12 0 20.62 19
cell 12 1 15.82 6
cell 12 10 8.13 9
cell 12 11 8.13 6
cell 12 12 7.75 8
cell 12 13 6.92 31
cell 12 14 6.57 4
cell 12 15 6.26 16
cell 12 16 5.8 8
cell 12 17 5.3 13
cell 12 18 19.754 1
cell 12 19 5.09 29
cell 12 2 15.82 59
cell 12 20 14.152 20
cell 12 21 4.03 14
cell 12 22 3.96 17
cell 12 23 3.96 4
cell 12 24 3.81 23
cell 12 25 4.11 23
cell 12 27 4.11 7
cell 12 28 4.11 13
cell 12 29 4.11 4
cell 12 3 16 8
cell 12 31 2.78 16
cell 12 33 2.78 4
cell 12 37 2.08 6
cell 12 38 2.08 4
cell 12 41 2.71 5
cell 12 5 30.536 1
cell 12 6 30.398 4
cell 12 7 10.2 12
cell 12 8 10.2 16
cell 12 9 9.23 22
cell 13 0 20.62 28
cell 13 1 20.62 14
cell 13 10 8.13 12
cell 13 11 8.13 13
cell 13 12 7.75 41
cell 13 13 6.92 28
cell 13 14 6.62 29
cell 13 15 5.8 49
cell 13 16 5.8 10
cell 13 17 5.38 10
cell 13 18 5.23 21
cell 13 19 4.33 29
cell 13 2 16 34
cell 13 20 4.03 15
cell 13 21 3.96 8
cell 13 22 16.269 8
cell 13 23 3.81 10
cell 13 24 3.81 27
cell 13 25 3.81 16
cell 13 29 4.11 14
cell 13 31 2.78 33
cell 13 32 2.78 14
cell 13 35 2.19 4
cell 13 36 2.19 8
cell 13 37 2.19 12
cell 13 40 2.08 6
cell 13 41 2.08 5
cell 13 5 12.46 4
cell 13 6 12.46 3
cell 13 7 9.23 27
cell 13 8 10.2 43
cell 13 9 10.2 54
cell 14 0 26.058 34
cell 14 1 29.575 82
cell 14 10 8.13 17
